lc_id,applicant_id,beneficiary_id,lc_amount_usd,tenor_days,commodity_hs_code,origin_country,destination_country,issue_date,expiry_date,port_origin,port_destination,applicant_credit_score,beneficiary_otif_score,historical_discrepancy_rate_applicant,historical_discrepancy_rate_beneficiary,port_congestion_origin,port_congestion_destination,freight_rate_percentile,seasonal_factor,currency_volatility,country_risk_differential,pd_adjusted,default_flag,days_to_default
LC-0000000,APP-0044,BEN-0158,31307.505860013134,90,2601,US,DE,2020-02-04,2020-05-04,Singapore,Rotterdam,489.0,0.9305314283689563,0.04614562672362096,0.051827275446445005,0.2794040016210986,0.5912364208573578,0.47620595352493356,0.9798252509639828,0.10563257744072954,0.04999999999999999,0.03517918613949611,0,90
LC-0000001,APP-0386,BEN-0027,72260.17791480919,180,7201,KR,IT,2020-04-29,2020-10-26,LA,LA,343.0,0.922316216365569,0.027196100749710978,0.12394233798987714,0.17578476634575776,0.47747516661365613,0.5896217502147754,1.185326731923319,0.12110767741068441,0.07,0.03574010775171712,0,180
LC-0000002,APP-0327,BEN-0501,244752.22721849693,30,9403,US,BR,2020-12-18,2021-01-17,Shanghai,LA,435.0,0.7729333915317046,0.006261990999171407,0.020450680931087248,0.32793080859872653,0.18029416101757056,0.8110438678392006,1.1930607350592526,0.3796265211829783,0.4,0.03960163825509682,0,30
LC-0000003,APP-0219,BEN-0546,63419.07875667524,90,2601,VN,MX,2020-05-21,2020-08-19,Shanghai,Rotterdam,625.0,0.8563811182051807,0.06360174882481467,0.07127711216372548,0.4093457832942528,0.03559930477555899,0.2708437132994649,0.8733529400072143,0.380265710923096,0.04999999999999999,0.030779241344841925,0,90
LC-0000004,APP-0216,BEN-0618,107199.87263891946,180,6203,MY,JP,2022-05-21,2022-11-17,Hamburg,LA,338.0,0.8590115767863381,0.01045846089124881,0.014329486705185909,0.2701143978108182,0.021064867430779118,0.44013895881973997,0.8414500845649433,0.17610740731119356,0.19999999999999998,0.033419474012959645,1,96
LC-0000005,APP-0429,BEN-0760,315539.1489845545,90,8471,CN,DE,2022-01-13,2022-04-13,Singapore,Rotterdam,386.0,0.7884697490654325,0.004365288431391011,0.09042196956278775,0.09923294982735728,0.27673311670522666,0.5803378907039034,1.2138116709119602,0.11334242686193698,0.35,0.03576097568555441,0,90
LC-0000006,APP-0042,BEN-0397,96455.87975811212,90,2601,PL,CN,2021-03-01,2021-05-30,Rotterdam,Singapore,613.0,0.9610830344735724,0.004803966838993353,0.033764651438439874,0.5104598440320959,0.16132022932467927,0.2851598700653619,1.1148544094745774,0.32435110744123946,0.25,0.032948053330665465,0,90
LC-0000007,APP-0348,BEN-0663,228453.82352234353,90,6203,CN,KR,2020-03-26,2020-06-24,LA,Rotterdam,847.0,0.9388213165956596,0.008906800185280173,0.005382982317241739,0.40640399216588385,0.21676552620977438,0.5327781674053129,1.0356981849203424,0.02939517751066318,0.2,0.0290511238181653,0,90
LC-0000008,APP-0100,BEN-0573,1774612.5653588404,30,8471,CN,IN,2022-06-06,2022-07-06,Busan,Shanghai,391.0,0.9899564905204585,0.14637703094875762,0.019564158222531415,0.5575547437352539,0.21256339647341407,0.5603383338068052,1.0978285642648162,0.18704141096080382,0.04999999999999999,0.0374290563975379,0,30
LC-0000009,APP-0047,BEN-0221,125770.21135393376,60,8471,CN,CN,2021-10-14,2021-12-13,Rotterdam,Singapore,343.0,0.8423483990447922,0.0632576899363837,0.014621795765769389,0.29907601552965135,0.07178496480324563,0.44300644393970867,1.1146351880345489,0.20725729048280442,0.0,0.03333705760378024,0,60
LC-0000010,APP-0263,BEN-0676,954560.8918174634,30,8516,NL,CN,2020-06-13,2020-07-13,Singapore,LA,492.0,0.8982128730550373,0.05933440236333342,0.028589480831762923,0.4774034509952888,0.2866967687391487,0.9914292301482446,1.0925952287396452,0.18382288069712,0.37,0.040689251966563575,0,30
LC-0000011,APP-0487,BEN-0042,376643.76563051215,60,2601,MX,CN,2020-02-18,2020-04-18,LA,Singapore,341.0,0.9306922603314441,0.017623663564467942,0.10216066241511108,0.5232493650596984,0.35928761998738173,0.9916915033963658,1.2396716246699147,0.01206990255659235,0.04999999999999999,0.039033235056158695,0,60
