source_id,target_id,edge_type,volume_usd,payment_terms_days,reliability_score,transit_time_days,modal_type
SUP-0174,SUP-0006,supplies,4592.620803238008,60,0.8183114457640968,8,ocean
SUP-0107,SUP-0284,supplies,143910.4688414484,90,0.7713538496098096,10,rail
SUP-0245,SUP-0439,supplies,642557.0401524353,30,0.8518480133393938,3,air
SUP-0225,SUP-0417,supplies,819809.0185912618,60,0.930493414351884,15,ocean
SUP-0484,SUP-0365,finances,4414783.3648029,90,0.8596926932362551,4,air
SUP-0016,SUP-0025,supplies,5255470.134875,45,0.9482884021925615,5,road
SUP-0089,SUP-0378,finances,844476.8667107025,60,0.8958160489052142,8,rail
SUP-0398,SUP-0340,finances,3145706.8977903575,30,0.9533275258219144,9,rail
SUP-0474,SUP-0419,ships_via,2648441.7297871094,30,0.7856766231427735,5,road
SUP-0313,SUP-0074,supplies,6306857.018979717,45,0.8977087710484122,12,ocean
SUP-0158,SUP-0431,supplies,606983.2796225038,45,0.7919404929988045,21,ocean
SUP-0104,SUP-0358,finances,156693.36335809535,60,0.8998070934600448,4,road
SUP-0422,SUP-0382,supplies,442070.73560540046,120,0.743217277546084,15,ocean
SUP-0300,SUP-0080,supplies,2633687.092642416,30,0.9831940879134906,3,road
SUP-0204,SUP-0427,supplies,39460.96047057624,90,0.8785914671792737,21,ocean
SUP-0218,SUP-0010,supplies,44947.744106150174,90,0.62138132654636,5,air
SUP-0074,SUP-0111,supplies,4487255.107521021,45,0.9140124446157101,5,rail
SUP-0413,SUP-0077,supplies,7652476.829783235,60,0.9384562277914635,16,ocean
SUP-0024,SUP-0115,ships_via,31494507.308108397,45,0.6759363567760229,4,road
SUP-0491,SUP-0312,supplies,45802584.42342756,90,0.9308140669789048,3,air
SUP-0083,SUP-0462,supplies,86112.68601576697,90,0.6702982760313341,5,road
SUP-0062,SUP-0492,finances,12289407.476069745,60,0.6862611537827986,4,rail
SUP-0036,SUP-0054,supplies,4379736.783468755,30,0.8457099508147782,6,road
SUP-0245,SUP-0485,supplies,879944.254164308,45,0.8972870359040575,21,ocean
SUP-0028,SUP-0054,supplies,2101044.0802651905,90,0.8222645159402557,22,ocean
SUP-0129,SUP-0372,supplies,17002402.26731329,30,0.5906089812538396,9,ocean
SUP-0399,SUP-0091,supplies,295358.5922727345,60,0.7038320488445324,13,ocean
SUP-0374,SUP-0412,supplies,5723415.675754617,90,0.8674846090769508,2,air
SUP-0171,SUP-0174,finances,2239479.840463936,90,0.951208298116584,2,road
SUP-0017,SUP-0436,finances,1950084.3512450038,45,0.840709497752699,10,ocean
SUP-0079,SUP-0270,supplies,293014.89308948576,60,0.7625482473304059,9,ocean
SUP-0272,SUP-0264,ships_via,21873917.113114286,60,0.8668399563614718,16,ocean
SUP-0233,SUP-0220,supplies,146713.78571534876,90,0.6502552984034774,7,ocean
SUP-0428,SUP-0114,finances,50063703.05432675,60,0.8123190992612583,3,road
SUP-0241,SUP-0257,supplies,88272363.43243714,60,0.9206598795084247,11,ocean
